label,mean_r
VisCent,0.06759222596883774
LimbicB,0.04899301752448082
DorsAttnA,0.0414963997900486
ContC,0.03144977614283562
VisPeri,0.024045104160904884
ContB,0.01576010137796402
LimbicA,0.009519188664853573
SomMotB,0.0017505154246464372
DefaultB,0.000993256806395948
DefaultA,-0.002542750909924507
ContA,-0.012596401385962963
SalVentAttnB,-0.023328104987740517
DefaultC,-0.02416221797466278
TempPar,-0.031183553859591484
SalVentAttnA,-0.03248703107237816
SomMotA,-0.033533211797475815
DorsAttnB,-0.03356754034757614
